,barbell squat,lunges,leg press,leg extensions,leg curls,seated hip abduction,seated calf raise
2020-02-22,45,20,115,40,40,35,45
2020-02-29,45,22.5,102.5,0,40,40,57.5
2020-03-07,50,25,135,45,40,40,57.5
2020-03-14,55,25,135,47.5,42.5,45,57.5
2020-05-30,45,0,90,40,35,45,45
2020-06-06,45,0,115,40,35,45,57.5
2020-06-13,45,0,115,45,40,45,57.5
2020-06-20,50,20,115,45,40,45,57.5
2020-06-27,52.5,20,115,45,42.5,45,57.5
2020-07-04,55,0,115,45,45,50,57.5
2020-07-11,55,20,90,45,45,50,45
2020-07-18,57.5,20,115,50,45,45,57.5
